TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
99010188957314819257220228186353045219269446029574647583320680401438917900366,1753970590184,1753970618435,1753970653143,1753970618513,1753970653143,,,62959
48203501041677140445771298383938112168769588279492181571452234284303011748684,1753970590196,1753970618740,1753970658515,1753970618883,1753970658515,,,68318
110204611004027816107575511212687059463982178181948216894845353891172552359184,1753970564201,1753970568417,1753970568635,,,,,4433
23890617474627898836465877789531809859617715907531542396686484061348241115639,1753970574711,1753970593402,1753970623494,1753970593487,1753970623494,,,48783
101013493283047266609489551804878631710395705008194821361494225259891558436277,1753970590224,1753970618740,1753970618883,,,,,28659
48329813355771989641976857542009141408877150095421428269612405766028234541711,1753970604767,1753970628468,1753970668511,1753970628523,1753970668511,,,63744
53432372638822796409376050928225136942862006290208089452653169722615194384269,1753970604783,1753970633441,1753970663494,1753970633519,1753970663494,,,58711
114904814232635618689948882692912096092703813651923904782742963316480858453552,1753970569416,1753970578051,1753970588453,1753970578098,1753970588453,,,19036
107836311410825669827247511161297725213484140902059655286598804444190256609526,1753970564283,1753970568917,1753970569121,,,,,4837
92520059708513430316502507685478752114193435654000630613310116250897269270924,1753970564243,1753970568068,1753970573448,1753970568151,1753970573448,,,9205
35849875836314824506403013311535974876464495371310041139064824390882696556761,1753970564278,1753970568441,1753970573082,1753970568639,1753970573082,,,8803
88861729555699447691642327290835703641657050273949686069769383140500736904113,1753970564296,1753970573396,1753970573448,,,,,9152
36642707129622141818770130402824294398993144788994863395195545095594494438834,1753970569567,1753970584042,1753970598126,1753970584368,1753970598126,,,28558
72540018404933922547499692344949203684024452404207292884204772206502304009522,1753970579786,1753970598452,1753970598639,,,,,18852
74974699242558965085397735403255132992850484140305838749621414479372786791859,1753970590227,1753970623433,1753970653143,1753970623500,1753970653143,,,62915
49978247849364146780033651428056772491948793549870154746303760413793395409397,1753970569400,1753970578051,1753970578098,,,,,8697
59945616859003941572230756681209729632297282604986119956748585276660344105487,1753970574635,1753970583418,1753970608517,1753970583486,1753970608517,,,33881
7437251555899437959024410234097489786501941368181523979134753327074240244249,1753970569592,1753970583402,1753970598586,1753970583512,1753970598586,,,28993
97813462041218672337719392327185318383066653762874985206571393277720076641990,1753970584998,1753970608456,1753970608504,,,,,23506
42743996059118828970307812452849116633609976864118081548509158776247444221895,1753970604781,1753970628094,1753970658515,1753970628137,1753970658515,,,53733
81080960882951758123018030777348464370413067947155780299556333160174136518692,1753970604787,1753970629055,1753970629292,,,,,24504
101047514498004639994615127625937509198668001689969855982293366238215190907062,1753970609887,1753970638467,1753970663132,1753970638525,1753970663132,,,53244
66973682102491027771309910927861788603506651640025339427019264699531055692114,1753970609937,1753970638467,1753970673528,1753970638525,1753970673528,,,63591
7265007001097021655909525073331019582277106933712970897625326354377659338936,1753970585126,1753970614078,1753970638144,1753970614411,1753970638144,,,53018
91244702465254267447973416502010172124911593102783157835571961106008555956008,1753970574636,1753970584042,1753970584368,,,,,9732
54837838685356995063264755249700057808657145489349532086786046351135023155897,1753970579832,1753970598068,1753970598126,,,,,18294
62694591672715100947846431620538764384487599999448767824838717741167583217009,1753970590228,1753970623433,1753970658515,1753970623500,1753970658515,,,68286
115233275835422948654706081388728566255995687339886142075703741630609809043092,1753970590260,1753970628444,1753970663494,1753970628541,1753970663494,,,73234
4441106653320998355595752766941246581397527751103468754811224828996289097082,1753970604840,1753970633747,1753970668511,1753970633896,1753970668511,,,63671
6424903402959074689205993249296101723978309362965339656423163543518485875020,1753970615417,1753970659040,1753970668141,1753970659567,1753970668141,,,52724
41402087184967595118285577541057938333390629002678589836319728432335450010259,1753970574689,1753970588409,1753970614411,1753970588453,1753970614411,,,39721
56261929632361943929167014192899490532571611949893116991346221413679578339698,1753970574690,1753970588401,1753970588473,,,,,13782
20020910440887194500386491513677539802573493048092544026610428279354347449321,1753970574708,1753970593402,1753970623878,1753970593487,1753970623878,,,49170
37614641729788665078755389509836506633391885669767870218411417587194573595202,1753970584911,1753970608450,1753970633896,1753970608517,1753970633896,,,48985
100652485241012769072199706320582156881947379312333304585105349474324823586518,1753970590260,1753970623439,1753970653143,1753970623494,1753970653143,,,62882
95941587283074333475904405819847269205602448867165840347253047670181362682414,1753970609894,1753970638847,1753970663132,1753970638974,1753970663132,,,53238
83498048050859027519789532609053975052831703253438411764110275089469300292144,1753970615120,1753970653464,1753970678452,1753970653519,1753970678452,,,63332
114018595108954245368788908603845821727003914603235184292984511934728979082067,1753970590195,1753970618435,1753970653519,1753970618513,1753970653519,,,63323
87315994575708633434550094665129789160588463342863327890102102232117935817842,1753970569586,1753970584042,1753970598126,1753970584368,1753970598126,,,28539
36369335853082271070035205425503215826354534479915552711469931953331802818061,1753970564284,1753970573381,1753970578098,1753970573431,1753970578098,,,13813
