TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
2045367581927850375986373430255928646538715251811889863184303439499165224891,1753968958532,1753968972742,1753968997503,1753968972861,1753968997503,,,38971
56276867033283285066360404383297757216376097329868512561848143996908075719896,1753968963636,1753968976495,1753968976589,,,,,12953
91314834532769593393677897044018768165882539067467032870879936806812882854568,1753968989025,1753969012924,1753969052879,1753969013081,1753969052879,,,63853
17279899578297364384955137869720738928516619701007128166169733834298623905946,1753968994120,1753969016388,1753969047875,1753969016437,1753969047875,,,53755
72866706267932099759504555872851400647393948706829329354393497551101957732755,1753968988995,1753969017608,1753969047509,1753969017701,1753969047509,,,58514
59128568600832730114632357538971941285446068793370739563886437922891078984044,1753968999251,1753969042610,1753969051658,1753969042662,1753969051658,,,52406
14083427383704533884763814104548187662129383636527555925535630449196726438937,1753968947988,1753968952649,1753968956391,1753968952754,1753968956391,,,8402
29771097967660539640298163350760806085508252662460621291525461172516696580397,1753968948255,1753968957710,1753968967618,1753968957767,1753968967618,,,19362
18574571947925129950671640395293640162493894072018934178492519406057001044875,1753968958490,1753968967738,1753968967879,,,,,9388
62135559832367955810010876348362524702036381599115166976539059826116794988170,1753968953424,1753968967738,1753968981429,1753968967879,1753968981429,,,28004
102000662969943096544053735920022127774451533278416160907324838312581987179828,1753968963677,1753968976495,1753969008231,1753968976589,1753969008231,,,44554
19323517392421720906553455279145478789177282607023838220897409540277577899819,1753968963663,1753968982468,1753969008937,1753968982521,1753969008937,,,45274
54862206299846475583642505586141330789876222164978224341229987480889216045601,1753968963656,1753968982834,1753969012563,1753968983045,1753969012563,,,48907
17088703086749465991918682420567115401906199777427579877449016723276356419683,1753968968739,1753968992717,1753969011482,1753968992834,1753969011482,,,42742
101084060421400768545573148263883662962683799244365097798149373149559894547807,1753968958534,1753968972586,1753968997884,1753968972619,1753968997884,,,39350
102699160795506117162364141661354278260204809192523541750079977860823431386235,1753968968773,1753968993323,1753969017524,1753968993454,1753969017524,,,48750
886247602569855278310071516821964818965138421248598802831717363978000798689,1753968973944,1753969001377,1753969038319,1753969001419,1753969038319,,,64374
5481798121496176937314112970463371824211019321466674964203515336613208056165,1753968973923,1753969008713,1753969047638,1753969008937,1753969047638,,,73715
109669604394666971338501742774512156923846844616766305185962191551619650314967,1753968989054,1753969017841,1753969052879,1753969018010,1753969052879,,,63825
38090763847960612369012394727186558441328494076775114896397476180561938321106,1753968994183,1753969021583,1753969057634,1753969021653,1753969057634,,,63450
86728449478719405477250807196257699630819163592652056549207931684490964844410,1753968994142,1753969023663,1753969057634,1753969023811,1753969057634,,,63491
59961954294416498050860571342930036753144035069504266137139740765253568730876,1753968999245,1753969026391,1753969053219,1753969026437,1753969053219,,,53974
13733434692609740094248341807238959358802490854989676284519200840581707566767,1753968968755,1753968993323,1753969017524,1753968993454,1753969017524,,,48769
75554861982345258457336102552919978130702881376243285121551874057472747367626,1753968999224,1753969027827,1753969051658,1753969027965,1753969051658,,,52434
97260475014985274628608785890648678276132677703697967430669307122111343495297,1753968999282,1753969038157,1753969038319,,,,,39036
86848838888531465243951904248035473580474312460591233073470796777407540578741,1753968958520,1753968966368,1753968966411,,,,,7891
85772625280913469756658960475605258490779962099683785126686091285215296855867,1753968988998,1753969011426,1753969042953,1753969011482,1753969042953,,,53954
30742802535292467584772045877714980785019272225773755835379831424195923427023,1753968989068,1753969017476,1753969017524,,,,,28455
3433382180625744995287158615581355079037012455815305243462027265185533439589,1753968989044,1753969022843,1753969022984,,,,,33939
103539083258407101107756178844877537551435958333823464492101668641876537293563,1753968994134,1753969027587,1753969046414,1753969027640,1753969046414,,,52280
73254954560070727205487241229836660028203632134256666945724362092972366544414,1753968953419,1753968967554,1753968967618,,,,,14199
62571547539311478384933829193950044101802911038570779639885224295464257738488,1753968963679,1753968982468,1753969012739,1753968982521,1753969012739,,,49059
113093036961841950641329819329879482235522892100079205107917512403056900522719,1753968994147,1753969027587,1753969027640,,,,,33492
78791464707280656047298963729188164998488184226007012141550083100763956370344,1753968994187,1753969037770,1753969057492,1753969037945,1753969057492,,,63304
